#    L    TT             EE             TE             PP             TP          
   253   0.540512E+04   0.264124E+01   0.690878E+02   0.219161E+07   0.160871E+04
   254   0.538539E+04   0.273134E+01   0.706816E+02   0.218200E+07   0.159506E+04
   255   0.536513E+04   0.282356E+01   0.722631E+02   0.217245E+07   0.158152E+04
   256   0.534440E+04   0.291829E+01   0.738323E+02   0.216297E+07   0.156809E+04
   257   0.532321E+04   0.301507E+01   0.753809E+02   0.215355E+07   0.155477E+04
   258   0.530148E+04   0.311427E+01   0.769217E+02   0.214419E+07   0.154155E+04
   259   0.527929E+04   0.321575E+01   0.784396E+02   0.213490E+07   0.152844E+04
   260   0.525671E+04   0.331950E+01   0.799497E+02   0.212567E+07   0.151543E+04
   261   0.523360E+04   0.342545E+01   0.814295E+02   0.211649E+07   0.150253E+04
   262   0.520995E+04   0.353381E+01   0.829014E+02   0.210739E+07   0.148973E+04
   263   0.518614E+04   0.364438E+01   0.843579E+02   0.209834E+07   0.147703E+04
   264   0.516172E+04   0.375722E+01   0.857916E+02   0.208935E+07   0.146443E+04
   265   0.513677E+04   0.387225E+01   0.871951E+02   0.208042E+07   0.145193E+04
   266   0.511150E+04   0.398970E+01   0.885905E+02   0.207155E+07   0.143953E+04
   267   0.508571E+04   0.410920E+01   0.899557E+02   0.206273E+07   0.142723E+04
   268   0.505952E+04   0.423111E+01   0.913055E+02   0.205398E+07   0.141503E+04
   269   0.503281E+04   0.435514E+01   0.926323E+02   0.204528E+07   0.140291E+04
   270   0.500587E+04   0.448136E+01   0.939363E+02   0.203664E+07   0.139090E+04
   271   0.497846E+04   0.460970E+01   0.952174E+02   0.202806E+07   0.137897E+04
   272   0.495083E+04   0.474045E+01   0.964682E+02   0.201953E+07   0.136714E+04
   273   0.492273E+04   0.487302E+01   0.977035E+02   0.201106E+07   0.135540E+04
   274   0.489433E+04   0.500800E+01   0.989010E+02   0.200264E+07   0.134375E+04
   275   0.486555E+04   0.514487E+01   0.100083E+03   0.199428E+07   0.133219E+04
   276   0.483654E+04   0.528386E+01   0.101227E+03   0.198597E+07   0.132071E+04
   277   0.480708E+04   0.542495E+01   0.102356E+03   0.197771E+07   0.130932E+04
   278   0.477738E+04   0.556809E+01   0.103447E+03   0.196951E+07   0.129802E+04
   279   0.474738E+04   0.571318E+01   0.104507E+03   0.196136E+07   0.128680E+04
   280   0.471708E+04   0.586024E+01   0.105552E+03   0.195326E+07   0.127566E+04
   281   0.468662E+04   0.600933E+01   0.106559E+03   0.194522E+07   0.126461E+04
   282   0.465571E+04   0.616016E+01   0.107536E+03   0.193722E+07   0.125364E+04
   283   0.462465E+04   0.631295E+01   0.108482E+03   0.192927E+07   0.124275E+04
   284   0.459336E+04   0.646762E+01   0.109398E+03   0.192138E+07   0.123193E+04
   285   0.456184E+04   0.662417E+01   0.110283E+03   0.191353E+07   0.122120E+04
   286   0.453002E+04   0.678246E+01   0.111130E+03   0.190573E+07   0.121054E+04
   287   0.449797E+04   0.694248E+01   0.111955E+03   0.189799E+07   0.119996E+04
   288   0.446578E+04   0.710423E+01   0.112741E+03   0.189028E+07   0.118945E+04
   289   0.443335E+04   0.726764E+01   0.113497E+03   0.188263E+07   0.117902E+04
   290   0.440078E+04   0.743256E+01   0.114222E+03   0.187502E+07   0.116865E+04
   291   0.436806E+04   0.759973E+01   0.114902E+03   0.186746E+07   0.115836E+04
   292   0.433489E+04   0.776803E+01   0.115559E+03   0.185995E+07   0.114814E+04
   293   0.430187E+04   0.793710E+01   0.116170E+03   0.185248E+07   0.113799E+04
   294   0.426855E+04   0.810841E+01   0.116759E+03   0.184506E+07   0.112791E+04
   295   0.423530E+04   0.828048E+01   0.117302E+03   0.183768E+07   0.111790E+04
   296   0.420176E+04   0.845480E+01   0.117814E+03   0.183034E+07   0.110795E+04
   297   0.416815E+04   0.862914E+01   0.118296E+03   0.182305E+07   0.109806E+04
   298   0.413432E+04   0.880572E+01   0.118732E+03   0.181580E+07   0.108824E+04
   299   0.410048E+04   0.898380E+01   0.119130E+03   0.180859E+07   0.107848E+04
   300   0.406650E+04   0.916190E+01   0.119490E+03   0.180143E+07   0.106879E+04
   301   0.403246E+04   0.934150E+01   0.119820E+03   0.179430E+07   0.105915E+04
   302   0.399841E+04   0.952185E+01   0.120119E+03   0.178722E+07   0.104958E+04
   303   0.396429E+04   0.970370E+01   0.120372E+03   0.178018E+07   0.104007E+04
   304   0.393010E+04   0.988704E+01   0.120580E+03   0.177318E+07   0.103062E+04
