#    L    TT             EE             BB             TE          
   362   0.222618E+04   0.197279E+02   0.401816E-01   0.698181E+02
   363   0.220588E+04   0.198451E+02   0.403044E-01   0.681042E+02
   364   0.218603E+04   0.199578E+02   0.404272E-01   0.663688E+02
   365   0.216655E+04   0.200682E+02   0.405502E-01   0.646180E+02
   366   0.214752E+04   0.201757E+02   0.406733E-01   0.628488E+02
   367   0.212895E+04   0.202786E+02   0.407965E-01   0.610634E+02
   368   0.211067E+04   0.203793E+02   0.409199E-01   0.592634E+02
   369   0.209300E+04   0.204769E+02   0.410435E-01   0.574465E+02
   370   0.207570E+04   0.205708E+02   0.411673E-01   0.556180E+02
   371   0.205878E+04   0.206609E+02   0.412913E-01   0.537741E+02
   372   0.204231E+04   0.207481E+02   0.414155E-01   0.519194E+02
   373   0.202628E+04   0.208314E+02   0.415401E-01   0.500508E+02
   374   0.201071E+04   0.209118E+02   0.416649E-01   0.481722E+02
   375   0.199552E+04   0.209884E+02   0.417901E-01   0.462834E+02
   376   0.198084E+04   0.210620E+02   0.419155E-01   0.443846E+02
   377   0.196662E+04   0.211311E+02   0.420414E-01   0.424787E+02
   378   0.195277E+04   0.211965E+02   0.421676E-01   0.405627E+02
   379   0.193938E+04   0.212589E+02   0.422942E-01   0.386412E+02
   380   0.192651E+04   0.213183E+02   0.424212E-01   0.367118E+02
   381   0.191401E+04   0.213709E+02   0.425486E-01   0.347777E+02
   382   0.190189E+04   0.214221E+02   0.426765E-01   0.328395E+02
   383   0.189029E+04   0.214687E+02   0.428049E-01   0.308957E+02
   384   0.187921E+04   0.215109E+02   0.429338E-01   0.289502E+02
   385   0.186844E+04   0.215509E+02   0.430631E-01   0.270014E+02
   386   0.185819E+04   0.215863E+02   0.431930E-01   0.250515E+02
   387   0.184832E+04   0.216173E+02   0.433234E-01   0.231006E+02
   388   0.183889E+04   0.216445E+02   0.434544E-01   0.211501E+02
   389   0.182991E+04   0.216658E+02   0.435860E-01   0.192002E+02
   390   0.182139E+04   0.216863E+02   0.437182E-01   0.172529E+02
   391   0.181331E+04   0.217016E+02   0.438510E-01   0.153069E+02
   392   0.180561E+04   0.217147E+02   0.439844E-01   0.133650E+02
   393   0.179843E+04   0.217225E+02   0.441185E-01   0.114267E+02
